streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,in_playlists,in_charts,scale
very_low,medium,high,very_high,very_high,low,very_low,very_low,very_low,very_low,high,B Major
very_low,very_low,high,high,high,very_low,very_low,very_low,very_low,very_low,low,C# Major
very_low,medium,low,low,medium,very_low,very_low,low,very_low,very_low,high,F Major
low,high,medium,medium,high,very_low,very_low,very_low,low,very_low,medium,A Major
very_low,medium,medium,low,very_high,very_low,high,very_low,very_low,very_low,low,A Minor
very_low,medium,very_high,high,medium,very_low,very_low,very_low,low,very_low,high,C# Major
very_low,medium,high,very_high,high,medium,very_low,very_low,very_low,very_low,low,F Minor
very_low,low,high,low,high,low,very_low,very_low,very_low,very_low,very_low,F Major
very_low,medium,very_high,very_low,high,very_low,very_low,low,very_low,very_low,high,C# Minor
very_low,high,high,medium,medium,low,very_low,very_low,medium,very_low,low,D Minor
very_low,very_low,medium,medium,high,low,very_low,low,very_low,very_low,low,F# Minor
very_low,high,high,medium,very_high,very_low,very_low,very_low,very_low,very_low,low,F Minor
low,low,high,high,high,very_low,very_low,very_low,very_low,low,high,C Major
very_low,medium,low,low,low,very_high,very_low,very_low,very_low,very_low,very_high,D Minor
high,high,low,high,high,low,very_low,low,very_low,low,very_high,F# Minor
low,very_low,medium,medium,high,very_low,very_low,very_low,very_low,very_low,low,G# Major
very_low,low,high,high,medium,medium,very_low,low,very_low,very_low,very_high,B Minor
very_low,very_low,low,very_low,very_low,very_high,very_low,very_low,very_low,very_low,high,C Major
very_low,low,very_high,high,high,very_low,very_low,very_low,low,very_low,very_low,B Major
very_low,low,medium,low,high,very_low,very_low,low,very_low,very_low,very_low,G Major
very_low,medium,medium,very_high,high,low,very_low,medium,very_low,very_low,very_high,F Minor
very_low,medium,high,very_high,high,very_low,very_low,very_low,very_low,very_low,very_low,F# Major
low,medium,low,medium,low,very_low,very_low,very_low,very_low,low,very_low,C Minor
very_low,medium,very_high,very_high,high,low,very_low,very_low,very_low,very_low,very_low,F Minor
very_low,low,very_high,very_high,high,very_low,very_low,low,low,very_low,high,C# Major
very_low,medium,high,very_high,very_high,very_low,very_low,very_low,very_low,very_low,very_low,G Minor
low,low,high,very_high,very_high,medium,very_low,very_low,very_low,very_low,very_low,B Major
very_low,medium,high,high,high,very_low,very_low,medium,very_low,very_low,very_low,F# Minor
very_low,very_high,low,medium,high,medium,very_low,very_low,very_low,very_low,low,F# Major
very_low,low,high,high,very_high,very_low,very_low,low,very_low,very_low,very_high,B Minor
very_low,medium,high,low,very_high,very_low,very_low,very_low,very_low,very_low,low,F Minor
very_low,high,medium,high,very_high,medium,very_low,very_low,very_low,very_low,low,F# Major
low,low,high,very_low,medium,low,very_low,very_low,very_low,very_low,very_low,C# Minor
low,low,medium,medium,high,very_low,very_low,very_low,very_low,very_low,low,E Major
very_low,very_high,high,high,high,high,very_low,very_low,medium,very_low,low,E Minor
very_low,low,high,high,high,very_low,very_low,very_low,very_low,very_low,very_low,C Major
very_low,high,medium,low,high,low,very_low,very_low,very_low,very_low,very_low,F# Major
low,low,high,medium,high,very_low,very_low,very_low,very_low,very_low,very_low,F Major
low,low,medium,medium,high,very_low,very_low,very_low,very_low,very_low,very_low,D Major
very_low,medium,high,very_high,very_high,low,very_low,very_low,very_low,very_low,very_low,F Minor
very_low,medium,medium,very_high,high,low,very_low,very_low,very_low,very_low,very_low,A Minor
high,very_low,high,very_high,medium,medium,very_low,very_low,very_low,medium,very_low,D Major
low,medium,medium,low,very_high,very_low,very_low,low,very_low,low,medium,G Minor
low,very_low,medium,medium,medium,low,very_low,very_low,very_low,low,low,F# Major
very_low,medium,high,high,medium,medium,very_low,low,low,very_low,high,C Major
very_low,medium,high,medium,high,very_low,very_low,very_low,very_low,very_low,very_low,F Major
low,medium,high,very_high,very_high,very_low,very_low,very_low,very_low,very_low,low,C Major
medium,medium,medium,medium,medium,very_low,very_low,very_low,very_low,very_low,low,C# Minor
high,very_high,high,medium,medium,very_low,very_low,very_low,medium,medium,very_low,G Major
very_low,very_low,medium,medium,medium,low,very_low,medium,very_low,very_low,very_low,C# Minor
