streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,in_playlists,in_charts,scale
141.381703,125,0.8,0.89,0.83,0.31,0.0,0.08,0.04,641,1246,4
133.716286,92,0.71,0.61,0.74,0.07,0.0,0.1,0.04,1580,570,8
140.003974,138,0.51,0.32,0.53,0.17,0.0,0.31,0.06,1582,1283,16
800.840817,170,0.55,0.58,0.72,0.11,0.0,0.11,0.15,8099,867,0
303.236322,144,0.65,0.23,0.8,0.14,0.63,0.11,0.06,3304,623,1
183.706234,141,0.92,0.66,0.58,0.19,0.0,0.08,0.24,2341,1267,8
725.980112,148,0.67,0.83,0.76,0.48,0.0,0.08,0.03,3167,703,17
58.149378,100,0.67,0.26,0.71,0.37,0.0,0.11,0.04,769,339,16
95.217315,130,0.85,0.22,0.62,0.12,0.0,0.28,0.09,1204,1257,9
553.634067,170,0.81,0.56,0.48,0.21,0.0,0.08,0.33,3068,506,11
505.671438,83,0.57,0.56,0.72,0.23,0.0,0.27,0.05,2971,508,19
58.25515,150,0.78,0.52,0.82,0.18,0.0,0.15,0.07,480,430,17
1316.855716,118,0.71,0.65,0.68,0.06,0.0,0.03,0.07,13256,1409,6
387.570742,130,0.51,0.32,0.43,0.83,0.0,0.09,0.03,3790,1559,11
2513.188493,174,0.52,0.66,0.73,0.34,0.0,0.31,0.06,24841,1826,19
1163.093654,89,0.64,0.43,0.73,0.05,0.17,0.16,0.04,8453,438,22
496.795686,120,0.78,0.76,0.59,0.43,0.0,0.34,0.03,3111,1747,5
30.546883,78,0.44,0.14,0.09,0.96,0.0,0.1,0.03,1048,1528,6
335.222234,100,0.86,0.67,0.66,0.14,0.0,0.12,0.16,2707,341,4
363.369738,120,0.63,0.36,0.73,0.0,0.0,0.36,0.04,627,203,20
86.444842,140,0.65,0.87,0.74,0.22,0.0,0.42,0.04,353,1645,17
52.135248,123,0.69,0.82,0.76,0.06,0.0,0.06,0.03,631,308,18
1297.026226,135,0.48,0.44,0.42,0.12,0.02,0.11,0.03,13465,283,7
200.647221,133,0.85,0.81,0.67,0.26,0.0,0.12,0.05,1362,342,17
115.364561,99,0.85,0.83,0.68,0.07,0.0,0.36,0.2,2106,1376,8
78.300654,130,0.79,0.96,0.86,0.09,0.0,0.09,0.09,276,348,21
899.183384,107,0.8,0.82,0.8,0.43,0.0,0.14,0.04,7632,330,4
61.245289,122,0.81,0.74,0.71,0.14,0.0,0.56,0.04,935,374,19
429.829812,204,0.52,0.52,0.68,0.46,0.0,0.15,0.04,2487,452,18
127.408954,110,0.67,0.78,0.85,0.02,0.0,0.33,0.05,3131,1867,5
22.581161,126,0.74,0.35,0.84,0.0,0.0,0.11,0.06,985,508,17
52.294266,168,0.56,0.63,0.87,0.39,0.0,0.11,0.05,299,424,18
843.95751,98,0.71,0.17,0.61,0.36,0.0,0.08,0.05,6394,287,9
999.748277,97,0.64,0.51,0.63,0.12,0.0,0.19,0.05,9489,517,14
618.990393,180,0.72,0.61,0.63,0.67,0.0,0.09,0.28,4583,544,15
123.122413,120,0.81,0.63,0.68,0.11,0.0,0.11,0.04,1206,255,6
188.933502,150,0.61,0.39,0.73,0.37,0.0,0.11,0.03,715,363,18
1355.959075,96,0.75,0.57,0.68,0.09,0.0,0.13,0.06,11998,259,16
786.181836,95,0.6,0.48,0.79,0.0,0.0,0.12,0.04,8075,239,10
176.553476,125,0.79,0.96,0.85,0.27,0.0,0.11,0.06,615,293,17
354.495408,144,0.56,0.84,0.65,0.23,0.0,0.1,0.06,708,197,1
2808.09655,90,0.76,0.91,0.5,0.54,0.0,0.07,0.05,25309,268,10
1109.433169,128,0.56,0.38,0.97,0.04,0.0,0.35,0.04,13310,1036,21
1047.101291,79,0.56,0.58,0.56,0.37,0.0,0.11,0.1,13711,434,18
65.156199,144,0.77,0.75,0.58,0.52,0.0,0.23,0.25,1264,1374,6
570.515054,122,0.67,0.49,0.64,0.1,0.0,0.1,0.03,3575,170,16
1085.68542,140,0.71,0.82,0.81,0.11,0.0,0.06,0.05,9130,572,6
1647.990401,134,0.59,0.51,0.52,0.09,0.0,0.15,0.07,2575,398,9
2565.529693,186,0.68,0.49,0.59,0.16,0.0,0.13,0.28,32262,357,20
518.745108,67,0.53,0.5,0.53,0.23,0.0,0.44,0.07,3569,150,9
