https://www.bike-discount.de/en/mondraker-dusk-r-2	Mondraker DUSK R	€3,699.00	unknown	unknown	Deep Purple - Light Blue	24.5 kg
https://www.bike-discount.de/en/mondraker-level-r-2	Mondraker LEVEL R	€3,999.00	aluminium	"29"""	cherry red/nimbus grey	26.9 kg
https://www.bike-discount.de/en/radon-render-9.0-750	Radon Render 9.0 750	€4,319.20	Carbon Hauptrahmen/Aluminium Hinterbau	"29"""	blackcoffee / black	starting from 24,4 kg
https://www.bike-discount.de/en/radon-deft-10.0-750	Radon Deft 10.0 750	€5,439.20	Carbon Hauptrahmen / Aluminium Hinterbau	"29"""	UD carbon / deepblack	starting from 24,1 kg
https://www.bike-discount.de/en/radon-render-10.0-750	Radon Render 10.0 750	€4,799.20	"Carbon Hauptrahmen/Aluminium Hinterbau Maximale Reifenbreite: 2.6"""	"29"""	nanogrey / deepblack	ab 23,85 kg
https://www.bike-discount.de/en/radon-jealous-hybrid-9.0-625-1	Radon Jealous Hybrid 9.0 625	€2,599.00	aluminium	"29"""	black / warmsilver	starting from 22,90 kg
https://www.bike-discount.de/en/radon-deft-10.0-750-ms	Radon Deft 10.0 750 MS	€5,599.20	Carbon Hauptrahmen / Aluminium Hinterbau	"29"""	UD carbon / deepblack	starting from 24,1 kg
https://www.bike-discount.de/en/mondraker-level-rr	Mondraker LEVEL RR	€4,999.00	aluminium	"29"""	dark purple - light blue	26,8 kg
https://www.bike-discount.de/en/radon-render-al-8.0-750	Radon Render AL 8.0 750	€3,519.20	Aluminium Hauptrahmen/Aluminium Hinterbau	"29"""	brilliantash / deepblack	ab 25,45 kg
https://www.bike-discount.de/en/radon-relate-9.0-lady-625	Radon Relate 9.0 Lady 625	€2,799.00	aluminium	"28"""	puregrey / coolgray	ab 25,4kg
https://www.bike-discount.de/en/radon-relate-9.0-750	Radon Relate 9.0 750	€3,039.20	aluminium	"28"""	puregrey / coolgray	ab 25,90 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-140-hpc-actionteam-750-actionteam	Cube Stereo Hybrid 140 HPC Actionteam 750 actionteam	€5,399.00	Carbon mainframe, alloy rear triangle	"Size Split: 27.5: S (16"") // 29: M (18""), L (20""), XL (22"")"	actionteam	starting from 24,2 kg
https://www.bike-discount.de/en/radon-jab-10.0-2	Radon Jab 10.0	€2,999.00	Full Carbon mainframe and rear triangle	"27.5"""	coolgray / yellow	starting from 14,10 kg
https://www.bike-discount.de/en/radon-jealous-hybrid-9.0-750-1	Radon Jealous Hybrid 9.0 750	€2,799.00	aluminium	"29"""	metallicforest / warmtitan	ab 23,95 kg
https://www.bike-discount.de/en/radon-render-10.0-hd-750	Radon Render 10.0 HD 750	€5,599.20	"Carbon Hauptrahmen/Aluminium Hinterbau Maximale Reifenbreite: 2.6"""	"29"""	blackcoffee / black	starting from 23,6 kg
https://www.bike-discount.de/en/cube-reaction-hybrid-one-625-grey-n-black	Cube Reaction Hybrid ONE 625 grey´n´black	€1,999.00	aluminium	"27.5: S (15"") // 29"": M (17""), L (19""), XL (21""), XXL (23"")"	grey´n´black	starting from 23,4 kg
